Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index,Region,Income group,Population_Density_Category,AQI_category,Decade,CO2_per_Population,PM_Ratio,Net_Forest_Change_%,Pollution_Health_Impact
Australia,Adelaide,2014,115.22,70.42,85.29,1.51,1.07,7.79,3.41,136.15,3125.55,119.32,38.57,77.59,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.03816347091842446,0.8256536522452808,-0.43999999999999995,1.4660898333121262
Australia,Adelaide,2014,104.4,68.97,93.58,2.19,2.05,3.3,5.25,296.94,3844.8,135.92,40.12,78.63,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.035342451505538504,0.7370164565078008,-0.14000000000000012,1.311063669471305
Australia,Adelaide,2014,76.34,37.62,60.99,0.79,1.16,8.35,4.38,162.11,229.19,132.49,42.45,80.23,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.5755680090360138,0.616822429906542,0.3699999999999999,0.9398005662932414
Australia,Adelaide,2014,77.68,43.95,70.29,0.7,1.07,7.19,6.68,144.78,2411.2,170.28,40.09,80.11,East Asia & Pacific,High income,Very High,Moderate,2010s,0.07059116159522429,0.6252667520273154,0.3700000000000001,0.9577117494760203
Australia,Adelaide,2014,79.88,42.37,79.67,3.07,2.4,7.01,4.76,472.96,4811.275,129.03,42.45,80.62,East Asia & Pacific,High income,Very High,Moderate,2010s,0.026812682151373314,0.531818752353458,-0.6699999999999999,0.9786816956628276
Australia,Adelaide,2014,60.69,37.41,60.36,0.84,1.51,4.43,2.77,468.04,3919.14,100.66,39.76,81.89,East Asia & Pacific,High income,Very High,Moderate,2010s,0.025677654369486803,0.6197813121272365,0.67,0.7321751719145856
Australia,Adelaide,2014,84.85,43.57,86.76,3.88,0.58,4.68,7.34,233.17,1891.9,158.87,35.96,79.81,East Asia & Pacific,High income,High,Moderate,2010s,0.08392942046595171,0.502189949285385,-3.3,1.0499938126469495
Australia,Adelaide,2014,64.59,35.33,46.81,2.82,0.84,5.25,2.17,267.97,3236.95,116.4,36.45,81.22,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03594867122716534,0.7547532578508865,-1.98,0.7855752858185356
Australia,Adelaide,2014,115.49,69.09,100.59,2.66,2.35,7.65,4.23,456.63,4826.17,152.72,39.56,78.21,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.03163758475462849,0.686847599164927,-0.31000000000000005,1.4580229768968564
Australia,Adelaide,2014,40.45,26.33,35.29,1.32,1.73,3.57,4.16,342.24,1393.47,124.55,42.47,82.99,East Asia & Pacific,High income,High,Good,2010s,0.08931708821272598,0.7461037120997449,0.4099999999999999,0.4816049529705918
Australia,Adelaide,2014,61.83,29.59,45.94,1.38,2.47,7.92,6.11,334.3,1789.1,159.89,44.24,81.55,East Asia & Pacific,High income,High,Moderate,2010s,0.08931903245628736,0.6441010013060514,1.0900000000000003,0.7490006056935191
Australia,Adelaide,2014,69.315,42.9,63.84,2.39,2.4,6.55,6.97,180.75,4229.37,167.97,40.59,80.74,East Asia & Pacific,High income,Very High,Moderate,2010s,0.03970574677865057,0.6719924812030075,0.009999999999999787,0.8479936383655493
Australia,Adelaide,2014,64.2,31.24,61.76,0.63,1.83,5.86,6.36,177.08,321.91,136.52,44.54,81.07,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.4227803412715617,0.5058290155440415,1.2000000000000002,0.7822590471548679
Australia,Adelaide,2014,104.79,66.52,99.17,0.85,1.78,9.15,5.04,267.2,2838.27,175.02,41.65,78.55,East Asia & Pacific,High income,Very High,Sensitive,2010s,0.06164260531756403,0.6707673691640617,0.93,1.3172847265870522
Australia,Adelaide,2014,69.315,66.0,107.45,1.27,0.71,5.23,3.55,354.41,4290.03,99.92,36.57,79.16,East Asia & Pacific,High income,Very High,Moderate,2010s,0.023285784531918912,0.6142391810144253,-0.56,0.8647080838323353
Australia,Adelaide,2014,81.18,51.68,80.89,2.02,2.58,4.3,3.14,243.0,4271.52,91.34,41.44,80.07,East Asia & Pacific,High income,Very High,Moderate,2010s,0.021378483892410097,0.6388923229076524,0.56,1.0013568521031209
Australia,Adelaide,2014,80.47,37.56,78.47,3.03,1.57,9.77,2.9,189.39,319.69,157.81,41.36,80.01,East Asia & Pacific,High income,Moderate,Moderate,2010s,0.49209516979014,0.47865426277558304,-1.4599999999999997,0.9933341562770027
